Model,Prompt,Scenario,CQS,Macro CQS,Completeness,Correctness,Clarity,Simplicity,Flexibility,Implementability
GPT-5.1,CoT + Verifier,01,53.846154,58.333333,40.0,0.0,100.0,60.0,100.0,50.0
GPT-5.1,CoT,01,53.846154,58.333333,40.0,0.0,100.0,60.0,100.0,50.0
GPT-5.1,One-shot,01,46.153846,47.222222,60.0,0.0,80.0,60.0,33.333333,50.0
GPT-5.1,CoT + Verifier,02,65.384615,63.888889,20.0,66.666667,80.0,100.0,66.666667,50.0
GPT-5.1,CoT,02,46.153846,46.111111,0.0,33.333333,60.0,100.0,33.333333,50.0
GPT-5.1,One-shot,02,57.692308,57.777778,20.0,50.0,80.0,80.0,66.666667,50.0
GPT-5.1,CoT + Verifier,03,76.923077,73.333333,40.0,83.333333,100.0,100.0,66.666667,50.0
GPT-5.1,CoT,03,76.923077,73.333333,40.0,83.333333,100.0,100.0,66.666667,50.0
GPT-5.1,One-shot,03,38.461538,37.777778,20.0,16.666667,60.0,80.0,0.0,50.0
Qwen-3,CoT + Verifier,01,50.0,43.888889,0.0,50.0,100.0,80.0,33.333333,0.0
Qwen-3,CoT,01,46.153846,40.555556,0.0,50.0,60.0,100.0,33.333333,0.0
Qwen-3,One-shot,01,53.846154,56.111111,0.0,66.666667,40.0,80.0,100.0,50.0
Qwen-3,CoT + Verifier,02,57.692308,55.555556,0.0,50.0,100.0,100.0,33.333333,50.0
Qwen-3,CoT,02,57.692308,55.555556,0.0,50.0,100.0,100.0,33.333333,50.0
Qwen-3,One-shot,02,46.153846,46.111111,0.0,33.333333,60.0,100.0,33.333333,50.0
Qwen-3,CoT + Verifier,03,50.0,49.444444,0.0,33.333333,100.0,80.0,33.333333,50.0
Qwen-3,CoT,03,46.153846,48.333333,0.0,33.333333,100.0,40.0,66.666667,50.0
Qwen-3,One-shot,03,42.307692,43.888889,20.0,0.0,80.0,80.0,33.333333,50.0
