Model,Prompt,Scenario,Entity Precision,Entity Recall,Entity F1,Attribute Precision,Attribute Recall,Attribute F1,Relation Precision,Relation Recall,Relation F1,Cardinality Accuracy,Structural F1,ROUGE-L,BLEU-4
GPT-5.1,CoT + Verifier,01,84.615385,84.615385,84.615385,36.686391,50.0,42.320819,64.102564,83.333333,72.463768,92.0,66.466657,46.859903,12.899372
GPT-5.1,CoT,01,88.0,84.615385,86.27451,38.03681,50.0,43.205575,67.567568,83.333333,74.626866,92.0,68.03565,47.901235,14.043026
GPT-5.1,One-shot,01,77.777778,80.769231,79.245283,39.864865,47.580645,43.382353,66.666667,80.0,72.727273,91.666667,65.118303,48.081841,13.532195
GPT-5.1,CoT + Verifier,02,86.206897,78.125,81.967213,35.46798,46.153846,40.111421,56.25,69.230769,62.068966,88.888889,61.382533,44.18146,7.468246
GPT-5.1,CoT,02,86.206897,78.125,81.967213,36.363636,46.153846,40.677966,61.363636,69.230769,65.060241,88.888889,62.568473,44.97992,8.656184
GPT-5.1,One-shot,02,80.645161,78.125,79.365079,40.860215,48.717949,44.444444,61.363636,69.230769,65.060241,96.296296,62.956588,46.311475,10.262236
GPT-5.1,CoT + Verifier,03,85.294118,85.294118,85.294118,33.891213,47.647059,39.608802,50.0,76.744186,60.550459,90.909091,61.817793,43.003413,7.957004
GPT-5.1,CoT,03,85.294118,85.294118,85.294118,34.033613,47.647059,39.705882,50.0,76.744186,60.550459,90.909091,61.850153,43.076923,7.98058
GPT-5.1,One-shot,03,68.965517,58.823529,63.492063,28.648649,31.176471,29.859155,47.916667,53.488372,50.549451,100.0,47.96689,33.398821,5.459384
Qwen-3,CoT + Verifier,01,100.0,53.846154,70.0,56.716418,30.645161,39.790576,53.333333,26.666667,35.555556,100.0,48.44871,41.304348,5.566945
Qwen-3,CoT,01,100.0,53.846154,70.0,56.716418,30.645161,39.790576,50.0,23.333333,31.818182,57.142857,47.202919,40.727273,5.418249
Qwen-3,One-shot,01,100.0,65.384615,79.069767,54.411765,29.83871,38.541667,55.555556,33.333333,41.666667,80.0,53.0927,42.402827,7.201725
Qwen-3,CoT + Verifier,02,94.117647,50.0,65.306122,50.649351,25.0,33.476395,66.666667,30.769231,42.105263,100.0,46.962593,36.578171,4.362678
Qwen-3,CoT,02,94.117647,50.0,65.306122,52.0,25.0,33.766234,66.666667,30.769231,42.105263,100.0,47.059206,36.795252,4.281645
Qwen-3,One-shot,02,100.0,59.375,74.509804,45.783133,24.358974,31.799163,78.571429,28.205128,41.509434,100.0,49.2728,39.067055,3.497912
Qwen-3,CoT + Verifier,03,100.0,41.176471,58.333333,62.295082,22.352941,32.900433,71.428571,23.255814,35.087719,70.0,42.107162,34.52381,2.419249
Qwen-3,CoT,03,100.0,41.176471,58.333333,62.295082,22.352941,32.900433,71.428571,23.255814,35.087719,70.0,42.107162,34.52381,2.419249
Qwen-3,One-shot,03,100.0,38.235294,55.319149,52.238806,20.588235,29.535865,71.428571,23.255814,35.087719,100.0,39.980911,32.844575,2.299613
